feature,importance
blk_k_238.0,1.4332380091093236e-05
blk_k_131.0,1.4235000436979458e-05
blk_k_269.0,1.351585022018893e-05
blk_k_228.0,1.3270287409815665e-05
blk_k_298.0,1.325508490935263e-05
blk_k_199.0,1.323298953393277e-05
blk_k_1.0,1.286387559660942e-05
blk_k_143.0,1.2571056301813205e-05
blk_k_289.0,1.247628907111768e-05
blk_k_177.0,1.232153139978809e-05
blk_k_149.0,1.2295389901853786e-05
blk_k_14.0,1.1495169949689993e-05
blk_k_91.0,1.1458364282310428e-05
blk_k_97.0,1.1410889110925112e-05
blk_k_22.0,1.111412460413804e-05
blk_k_148.0,1.106575832270983e-05
blk_k_114.0,1.0961298233800417e-05
blk_k_251.0,9.836947626337238e-06
blk_k_197.0,9.236509979651735e-06
blk_k_110.0,9.20202462975613e-06
blk_k_96.0,9.003336641497642e-06
blk_k_181.0,8.67467542895771e-06
blk_k_231.0,8.562715534248628e-06
blk_k_32.0,8.401469309255393e-06
blk_k_120.0,8.08671000619785e-06
blk_k_33.0,7.67669247314206e-06
blk_k_153.0,7.261332556664696e-06
blk_k_106.0,7.16007043692263e-06
blk_k_7.0,6.90992645565738e-06
blk_k_267.0,6.8828659440235584e-06
blk_k_295.0,6.553706001017e-06
blk_k_274.0,6.531722186565097e-06
blk_k_209.0,6.365484172583082e-06
blk_k_276.0,6.0896163293773e-06
blk_k_196.0,5.905993761451278e-06
blk_k_273.0,5.851911599300862e-06
blk_k_112.0,5.827298395473658e-06
blk_k_154.0,5.600686558197175e-06
blk_k_161.0,5.3155777538177015e-06
blk_k_221.0,5.209070149857294e-06
blk_k_115.0,5.158028398653049e-06
blk_k_63.0,5.056999602130283e-06
blk_k_36.0,4.5277223601867975e-06
year_2020,4.521563708276646e-06
blk_k_215.0,4.397316376006303e-06
blk_k_43.0,4.312360045605332e-06
blk_k_179.0,3.7644342377266686e-06
blk_k_87.0,3.625084937660346e-06
blk_k_249.0,2.879905988132486e-06
blk_k_18.0,2.825235749421547e-06
blk_k_117.0,2.606461073182602e-06
blk_k_297.0,2.0912785756140787e-06
blk_k_10.0,1.963625436030084e-06
blk_k_300.0,1.8988002487935593e-06
blk_k_257.0,1.8410288361278076e-06
blk_k_239.0,1.0475677749927075e-06
blk_k_77.0,8.482028839483108e-07
blk_k_294.0,1.25135178915367e-07
blk_k_296.0,4.6485783803461106e-08
year_2019,0.0
blk_k_301.0,0.0
blk_k_252.0,0.0
blk_missing,0.0
